PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,STANDARD_ADP,PPR_ADP
JUSTIN TUCKER,0,10,10,11,1,0.0,0.6,0.6,0.6,0.1,9.4,3.1,3.0,160,1.3,1.0,1.0,0.4,1.0,2.0,BAL,52,51,11,6,29,0,0,0,0,0,0,500,82
BRANDON AUBREY,0,9,13,4,10,0.0,0.5,0.8,0.2,0.6,10.6,3.1,2.9,181,2.4,1.0,2.0,2.6,1.0,17.0,DAL,52,49,7,10,6,0,0,0,0,0,0,500,93
HARRISON BUTKER,0,8,13,7,5,0.0,0.5,0.8,0.4,0.3,9.1,2.2,2.2,154,4.4,2.0,3.0,1.9,1.0,10.0,KC,38,38,18,21,10,0,0,0,0,0,0,500,110
JAKE MOODY,0,7,8,4,2,0.0,0.4,0.5,0.2,0.1,7.7,3.6,3.5,131,6.9,3.0,4.0,3.1,2.0,17.0,SF,61,60,17,28,4,0,0,0,0,0,0,500,152
JASON SANDERS,0,6,7,6,5,0.0,0.4,0.4,0.4,0.3,8.6,3.5,3.4,146,6.0,3.0,5.0,3.0,2.0,16.0,MIA,59,58,12,5,30,0,0,0,0,0,0,500,195
TYLER BASS,0,4,12,4,4,0.0,0.2,0.7,0.2,0.2,7.8,2.9,2.9,133,6.9,2.0,6.0,2.3,2.0,13.0,BUF,50,49,24,16,27,0,0,0,0,0,0,500,188
JAKE ELLIOTT,0,9,7,7,7,0.0,0.5,0.4,0.4,0.4,9.2,2.7,2.6,156,7.4,3.0,7.0,3.6,2.0,20.0,PHI,46,45,23,25,16,0,0,0,0,0,0,500,104
KAIMI FAIRBAIRN,0,10,10,2,5,0.0,0.8,0.8,0.2,0.4,9.5,1.8,1.8,114,7.7,4.0,8.0,5.3,2.0,29.0,HOU,22,21,1,7,1,0,0,0,0,0,0,500,126
YOUNGHOE KOO,0,10,10,9,3,0.0,0.6,0.6,0.5,0.2,8.1,1.6,1.6,138,8.7,5.0,9.0,2.1,2.0,18.0,ATL,28,27,6,4,17,0,0,0,0,0,0,500,140
EVAN MCPHERSON,0,5,6,8,7,0.0,0.3,0.4,0.5,0.4,8.2,2.4,2.4,140,9.7,4.0,10.0,2.7,2.0,17.0,CIN,40,40,26,14,32,0,0,0,0,0,0,500,132
