PLAYER NAME,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
JOSH ALLEN,24.2,34.1,22.6,1.1,66%,1.7,6.5,0.9,30.8,1.4,253.3,410.6,579.0,385.0,18.0,66%,29.0,1.4,1,1,0.7,1,4,111.0,15.0,524.0,24.0,BUF,4306.0,16,12,19,25,6,75,1
JALEN HURTS,21.9,31.6,20.7,0.9,65%,1.4,9.2,0.9,35.6,2.1,226.9,371.8,538.0,352.0,15.0,65%,23.0,2.2,1,2,0.9,1,6,157.0,15.0,605.0,36.0,PHI,3858.0,17,16,13,19,13,88,1
PATRICK MAHOMES,18.4,37.3,25.1,0.9,67%,1.7,4.7,0.0,24.3,1.7,261.4,294.2,597.0,401.0,14.0,67%,27.0,3.3,1,3,1.2,1,7,75.0,0.0,389.0,27.0,KC,4183.0,7,5,21,6,19,38,1
LAMAR JACKSON,21.1,28.6,19.2,0.4,67%,1.5,9.3,0.3,51.3,2.3,229.9,338.2,457.0,307.0,7.0,67%,24.0,3.6,1,4,1.1,1,8,148.0,5.0,821.0,37.0,BAL,3678.0,8,6,17,31,25,56,1
CJ STROUD,18.7,33.3,21.3,0.3,64%,1.5,2.6,0.2,11.1,2.5,273.9,280.0,499.0,319.0,5.0,64%,23.0,5.7,3,5,1.3,2,10,39.0,3.0,167.0,38.0,HOU,4108.0,27,23,28,14,36,43,1
ANTHONY RICHARDSON,18.4,21.0,12.5,0.3,60%,0.8,6.3,1.0,34.0,1.8,144.3,73.7,84.0,50.0,1.0,60%,3.0,6.3,3,6,2.3,2,19,25.0,4.0,136.0,7.0,IND,577.0,26,27,16,25,25,50,1
JOE BURROW,15.3,36.5,24.4,0.6,67%,1.5,3.1,0.0,8.8,2.4,230.9,153.2,365.0,244.0,6.0,67%,15.0,7.8,5,7,1.2,2,11,31.0,0.0,88.0,24.0,CIN,2309.0,30,32,26,10,40,40,1
DAK PRESCOTT,20.7,34.7,24.1,0.5,69%,2.1,3.2,0.1,14.2,2.3,265.6,351.8,590.0,410.0,9.0,69%,36.0,7.9,3,8,2.0,2,13,55.0,2.0,242.0,39.0,DAL,4516.0,2,8,3,31,25,56,1
KYLER MURRAY,18.9,33.5,22.0,0.6,66%,1.3,5.5,0.4,30.5,2.3,224.9,151.4,268.0,176.0,5.0,66%,10.0,8.7,4,9,2.0,2,14,44.0,3.0,244.0,18.0,ARI,1799.0,10,13,9,0,14,57,1
JORDAN LOVE,19.4,34.1,21.9,0.6,64%,1.9,2.9,0.2,14.5,1.8,244.6,330.1,579.0,372.0,11.0,64%,32.0,9.8,5,10,1.8,2,15,50.0,4.0,247.0,30.0,GB,4159.0,6,1,22,6,19,63,1
